pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
35,UGC12894,0.0938,39.4955,112.3102,-22.3207,333.3464,20.3429,9.9,15.89,14.00,7.54,335,618,0.00,0,35,591,1,112.3102,-22.3207,333.3464,20.3429,14.00,7.54,335,618,0,0.00,0,21,0,0.057,,10.276,,6.90,-3.47,2.86
38,UGC12893,0.1188,17.2203,105.9151,-43.9611,310.0185,17.2726,8.4,15.14,13.44,8.44,1108,1338,0.00,0,38,38,1,105.9151,-43.9611,310.0185,17.2726,13.44,8.44,1108,1338,0,0.00,0,30,0,0.081,,10.724,,10.95,-13.05,5.30
43,ESO293-027,0.1229,-40.4844,337.9255,-72.9984,254.1104,-0.1850,4.0,13.25,11.91,9.79,3181,3147,0.00,0,43,43,1,337.9255,-72.9984,254.1104,-0.1850,11.91,9.79,3181,3147,0,0.00,0,53,0,0.145,,11.484,,-11.49,-40.36,-0.14
143,WLM,0.4926,-15.4609,75.8635,-73.6245,277.8077,8.0860,9.9,10.01,9.00,7.71,-122,-29,0.96,5,143,2557,1,75.8635,-73.6245,277.8077,8.0860,9.00,7.71,-122,-29,1,0.96,5,23,0,0.061,,10.362,,0.13,-0.94,0.14
156,IC5377,0.5224,16.5903,106.1972,-44.6719,309.4554,16.7666,9.9,14.96,12.70,8.63,1050,1278,0.00,0,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,6.06,-7.36,2.87
171,UGC12921,0.5877,77.2569,120.1543,14.6507,13.3827,18.2069,4.6,13.60,10.15,10.36,2419,2695,0.00,0,171,171,1,120.1543,14.6507,13.3827,18.2069,10.15,10.36,2419,2695,0,0.00,0,76,0,0.207,,11.950,,33.21,7.90,11.23
181,ESO012-014,0.6766,-80.3482,305.4559,-36.5399,216.1117,-13.3206,9.0,13.72,12.82,8.92,1956,1741,12.13,25,181,181,1,305.4559,-36.5399,216.1117,-13.3206,12.82,8.92,1956,1741,1,12.13,25,36,0,0.097,,10.963,,-9.54,-6.96,-2.79
187,ESO149-013,0.6945,-52.7716,319.1268,-62.7997,242.7092,-4.8174,9.9,14.69,13.39,8.46,1443,1346,0.00,0,187,187,1,319.1268,-62.7997,242.7092,-4.8174,13.39,8.46,1443,1346,0,0.00,0,30,0,0.082,,10.737,,-8.20,-15.89,-1.51
218,NGC7814,0.8121,16.1456,106.4089,-45.1746,309.0614,16.4026,2.0,10.96,7.18,10.84,1059,1284,14.45,10,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,8.73,-10.76,4.08
255,UGC00017,0.9302,15.2182,106.2149,-46.0989,308.1422,16.0958,9.1,14.60,12.55,8.69,879,1101,19.41,14,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,11.52,-14.67,5.38
268,PGC000268,0.9672,30.2786,110.8875,-31.4781,323.6939,18.6937,,16.03,12.31,9.65,2936,3201,0.00,0,268,268,1,110.8875,-31.4781,323.6939,18.6937,12.31,9.65,2936,3201,0,0.00,0,50,0,0.134,,11.384,,32.58,-23.94,13.68
279,NGC7817,0.9952,20.7523,108.2283,-40.7605,313.8141,17.1420,4.1,11.56,8.40,10.99,2309,2548,29.38,14,279,279,2,108.2286,-40.7607,313.8141,17.1417,8.40,10.99,2242,2481,1,29.38,14,130,71,0.353,0.067,12.646,11.487,19.43,-20.26,8.66
285,PGC000285,1.0263,-57.3926,315.1758,-58.5962,238.3932,-6.5335,,16.45,12.41,9.09,1889,1770,0.00,0,285,285,1,315.1758,-58.5962,238.3932,-6.5335,12.41,9.09,1889,1770,0,0.00,0,38,0,0.104,,11.053,,-12.29,-19.97,-2.69
305,UGC00027,1.1200,5.8472,102.2018,-55.1233,298.7605,13.7120,5.8,14.71,12.25,9.70,3114,3301,44.46,18,305,307,1,102.2018,-55.1233,298.7605,13.7120,12.25,9.70,3114,3301,1,44.46,18,51,0,0.138,,11.418,,20.78,-37.87,10.54
307,NGC7820,1.1283,5.2002,101.8517,-55.7391,298.1192,13.5381,-0.1,13.46,9.64,10.72,3053,3237,0.00,0,307,307,1,101.8517,-55.7391,298.1192,13.5381,9.64,10.72,3053,3237,0,0.00,0,103,0,0.279,,12.338,,19.77,-37.01,10.10
332,UGC00031,1.2172,17.1921,107.3154,-44.2630,310.2119,16.2394,9.9,15.06,12.34,8.78,1034,1262,0.00,0,218,218,6,106.4391,-45.1797,309.0668,16.3813,7.12,10.86,964,1188,3,9.84,8,116,92,0.315,0.245,12.498,12.272,6.16,-7.29,2.78
365,UGC00035,1.2885,6.2596,102.7037,-54.7842,299.2148,13.6548,8.8,,14.32,8.87,3108,3296,0.00,0,365,307,1,102.7037,-54.7842,299.2148,13.6548,14.32,8.87,3108,3296,0,0.00,0,35,0,0.095,,10.940,,20.84,-37.27,10.37
388,ESO409-015,1.3830,-28.0983,24.8340,-79.7884,266.0981,3.1192,5.4,14.43,14.44,7.54,726,753,8.71,9,388,388,1,24.8340,-79.7884,266.0981,3.1192,14.44,7.54,726,753,1,8.71,9,21,0,0.057,,10.274,,-0.59,-8.68,0.47
